age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
29,4,280618,15,10,2,6,0,4,1,0,0,40,39,0
19,4,439779,15,10,4,12,3,4,1,0,0,15,39,0
28,4,204734,15,10,2,13,5,4,0,0,0,40,39,0
35,4,107991,1,7,4,12,1,4,1,0,0,45,39,0
20,4,54152,15,10,4,1,3,4,0,0,0,30,0,0
36,4,240323,15,10,6,1,4,2,0,0,0,40,39,0
46,4,279196,9,13,4,3,1,4,0,0,0,40,39,0
35,4,48123,2,8,2,3,5,4,0,0,0,50,39,0
28,4,166481,5,4,2,6,0,3,1,0,2179,40,33,0
23,4,129042,11,9,4,7,4,2,0,0,0,40,39,0
45,4,100651,11,9,0,8,1,4,1,0,1980,40,39,0
35,0,35854,15,10,4,0,3,4,0,0,0,40,39,0
39,4,280570,9,13,2,4,0,4,1,0,0,45,39,0
22,4,204160,11,9,0,7,3,4,0,0,0,40,39,0
45,4,195949,11,9,2,3,0,4,1,0,0,40,39,0
19,4,27433,1,7,4,6,1,4,1,0,0,40,39,0
31,4,91964,15,10,4,1,2,4,1,0,0,40,39,0
53,4,30244,7,12,2,4,0,4,1,15024,0,40,39,1
51,4,48343,12,14,2,4,0,4,1,7298,0,50,39,1
25,4,231714,15,10,2,7,0,4,1,0,0,40,39,0
77,0,152900,4,3,2,0,0,4,1,0,0,20,39,0
45,4,98092,11,9,2,12,0,4,1,0,0,60,39,0
25,4,181772,15,10,2,3,0,4,1,0,0,40,39,0
23,4,38251,11,9,4,8,3,4,0,0,0,40,39,0
33,4,117983,11,9,4,1,1,4,0,0,0,41,39,0
49,4,28791,15,10,0,8,1,4,0,0,0,40,39,0
57,2,143910,9,13,0,4,1,4,1,0,0,40,39,0
54,4,340476,11,9,5,12,4,4,0,0,0,35,39,0
24,4,202570,9,13,4,10,3,2,1,0,0,15,39,0
41,4,142717,15,10,0,13,4,2,0,0,0,36,39,0
57,7,254949,11,9,2,4,0,4,1,0,0,40,39,1
59,5,31359,12,14,2,4,0,4,1,15024,0,80,39,1
46,4,109089,11,9,0,3,1,4,1,0,0,37,39,0
46,1,268281,7,12,0,1,4,4,0,0,0,40,39,0
34,4,134886,15,10,4,1,1,4,0,0,0,40,39,0
27,4,223751,15,10,4,3,1,4,1,0,0,45,39,0
41,5,32185,9,13,2,13,0,4,1,0,0,40,39,0
32,4,205019,7,12,4,12,1,2,1,0,0,50,39,0
28,4,161087,15,10,4,4,1,2,0,0,0,45,23,0
39,5,283338,9,13,2,4,0,4,1,7298,0,40,39,1
43,4,281422,7,12,4,1,1,2,0,0,0,45,39,0
55,4,139843,11,9,0,4,1,4,0,0,0,60,39,0
34,5,127651,9,13,0,5,1,4,1,0,0,60,39,0
44,4,128354,12,14,0,4,4,4,0,0,0,40,39,0
18,4,198087,11,9,4,12,3,4,0,0,0,30,39,0
65,0,325537,8,11,2,0,0,4,1,0,0,50,39,1
36,6,347491,10,16,2,10,0,4,1,0,0,35,39,0
42,4,166740,9,13,0,10,1,4,1,0,0,40,39,0
30,6,172748,5,4,4,3,3,4,1,0,0,40,39,0
55,4,190257,11,9,2,5,0,4,1,0,0,53,39,1
35,4,331831,9,13,2,12,0,4,1,0,0,40,39,0
35,4,153790,15,10,4,12,1,0,0,0,0,40,39,0
27,0,29361,7,12,4,0,1,4,0,0,0,45,39,0
21,4,204596,7,12,4,1,3,4,0,0,0,8,39,0
38,6,112158,11,9,2,4,0,4,1,0,0,99,39,0
19,7,282721,15,10,4,8,1,2,1,0,0,12,39,0
38,4,192939,11,9,0,3,4,4,1,0,0,40,39,0
26,4,177929,9,13,4,12,1,4,1,0,0,48,39,0
52,4,117295,3,2,2,4,0,4,1,0,0,50,39,1
59,4,100313,11,9,2,4,0,4,1,0,1887,40,39,1
29,4,81057,15,10,4,1,3,4,0,0,0,40,39,0
44,6,219591,15,10,2,3,0,4,1,0,0,40,39,0
42,4,20809,11,9,0,3,1,4,1,0,0,75,39,1
17,4,244523,0,6,4,8,3,4,1,0,0,20,39,0
43,4,64631,11,9,2,3,0,4,1,0,0,40,39,0
44,4,194049,15,10,0,8,4,2,0,0,0,35,39,0
43,1,77370,11,9,2,14,0,4,1,0,0,40,39,0
43,4,159549,11,9,2,3,0,4,1,0,0,40,39,0
44,6,163985,14,15,2,10,0,4,1,0,0,32,39,1
46,4,116666,11,9,0,4,1,4,0,0,0,40,39,0
52,4,208302,11,9,2,12,0,4,1,0,0,36,39,0
55,4,169611,1,7,6,1,4,4,0,0,0,40,39,0
21,0,494638,7,12,4,0,3,4,1,0,0,15,39,0
43,6,144218,2,8,2,14,0,4,1,0,0,60,39,0
37,4,284582,12,14,2,4,5,4,0,0,0,40,39,0
28,4,109282,15,10,0,10,1,4,1,0,0,40,39,0
45,4,260490,12,14,2,4,0,4,1,0,0,50,39,1
42,0,321086,12,14,2,0,0,4,1,0,0,50,39,0
26,4,120238,9,13,4,3,1,4,1,3325,0,40,39,0
71,4,187493,11,9,2,11,0,4,1,0,0,40,39,1
59,1,100931,11,9,2,1,0,4,1,0,0,40,39,1
31,4,46807,9,13,4,13,1,4,1,0,0,40,39,0
41,4,111483,11,9,4,1,3,4,1,0,0,40,39,0
33,6,37939,9,13,2,3,0,4,1,0,0,35,39,0
41,1,192589,9,13,2,1,0,4,1,0,0,40,39,0
40,4,193995,11,9,2,8,0,4,1,0,0,30,39,0
40,4,155190,0,6,4,3,2,2,1,0,0,55,39,0
48,7,224474,15,10,0,4,1,4,0,0,0,40,39,0
42,6,238188,11,9,2,14,0,4,1,0,0,96,39,0
45,7,271962,9,13,0,11,1,4,0,0,0,40,39,0
26,4,63577,15,10,4,8,1,4,0,0,0,30,39,0
62,4,197514,11,9,2,12,5,4,0,0,0,16,39,0
36,4,231948,11,9,2,3,0,4,1,0,0,64,39,1
17,4,78602,1,7,4,8,2,4,0,0,0,20,39,0
27,4,118230,9,13,4,4,3,4,0,0,0,40,39,0
35,4,148903,11,9,2,8,5,4,0,0,0,16,39,1
56,2,160829,11,9,0,1,1,4,0,0,0,46,39,0
23,6,258298,9,13,4,1,3,4,1,0,2231,40,39,1
42,7,219553,12,14,0,10,1,4,0,0,0,38,39,0
57,4,74156,11,9,2,8,0,4,1,0,0,30,39,0
36,4,234271,15,10,4,3,1,4,0,0,0,40,39,0
17,4,183066,0,6,4,8,3,4,0,0,0,40,39,0
32,4,43403,15,10,0,5,1,4,0,0,1590,54,39,0
41,4,174540,15,10,2,10,0,2,1,0,0,4,39,0
53,5,128272,10,16,2,4,0,4,1,0,0,70,39,1
38,4,233717,15,10,0,4,4,2,1,0,0,60,39,0
20,4,216825,11,9,4,12,3,4,0,0,0,25,26,0
17,4,57324,0,6,4,8,3,4,1,0,0,30,39,0
28,4,119793,11,9,4,12,3,4,1,0,0,60,39,0
39,4,86643,15,10,4,3,1,4,1,0,0,50,39,0
43,4,212847,15,10,0,7,1,4,1,0,0,40,39,0
35,4,214816,9,13,2,4,0,4,1,0,0,40,39,1
50,6,172281,11,9,2,4,0,4,1,7688,0,50,39,1
40,4,96055,11,9,5,1,4,4,0,0,0,45,39,0
53,0,64322,5,4,5,0,1,4,1,0,0,40,39,0
42,4,109912,15,10,4,13,1,4,0,0,0,40,39,1
46,1,325573,11,9,4,6,1,4,1,0,0,40,39,0
21,1,99199,11,9,4,1,3,4,1,0,0,36,39,0
39,4,196673,11,9,2,8,5,4,0,5013,0,40,39,0
30,4,46712,11,9,0,8,1,4,0,0,0,40,39,0
36,7,119272,11,9,2,11,0,4,1,7298,0,40,39,1
43,4,247162,7,12,4,12,3,4,1,0,0,40,39,0
35,4,334291,15,10,2,3,0,4,1,0,0,50,39,0
42,2,1125613,11,9,0,8,1,2,1,0,0,40,39,0
68,4,104438,9,13,2,10,0,4,1,0,0,40,21,1
